ticker,week_start,n_posts_week,n_comments_week,n_total_week,mean_compound_w,score_weighted_compound_w,median_compound_week,days_covered
AMD,2025-07-01,0.0,2.0,2.0,0.2434,0.39268,0.2434,1.0
AMD,2025-07-08,0.0,3.0,3.0,0.31229999999999997,0.31229999999999997,0.46845,2.0
AMD,2025-07-22,1.0,2.0,3.0,0.5687333333333333,0.5687333333333333,0.7425,3.0
AMD,2025-07-29,0.0,3.0,3.0,0.3777333333333333,0.3777333333333333,0.6808,3.0
AMD,2025-08-05,0.0,2.0,2.0,0.7021,0.7021,0.7021,2.0
AMD,2025-08-12,0.0,6.0,6.0,0.32709999999999995,0.6134666666666667,0.08895,4.0
AMD,2025-09-16,0.0,1.0,1.0,0.91,0.91,0.91,1.0
AMD,2025-10-07,0.0,2.0,2.0,-0.1366,-0.1366,-0.1366,2.0
AMD,2025-10-14,0.0,1.0,1.0,0.0,0.0,0.0,1.0
AMD,2025-10-21,0.0,2.0,2.0,-0.25705,-0.25705,-0.25705,2.0
AMD,2025-10-28,0.0,1.0,1.0,0.963,0.963,0.963,1.0
AMD,2025-11-04,0.0,2.0,2.0,0.2092,0.2092,0.2092,2.0
AMZN,2025-05-13,1.0,3.0,4.0,-0.2182,-0.4960860308677927,-0.37865,3.0
AMZN,2025-05-20,0.0,6.0,6.0,0.2983166666666666,-0.3394907804554499,0.69365,2.0
AMZN,2025-05-27,0.0,4.0,4.0,-0.20159999999999995,-0.2283785714285714,-0.1969999999999999,3.0
AMZN,2025-06-03,0.0,1.0,1.0,0.9358,0.9358,0.9358,1.0
AMZN,2025-06-10,1.0,8.0,9.0,0.5532222222222223,0.8415518225019099,0.283775,2.0
AMZN,2025-06-17,0.0,1.0,1.0,-0.998,-0.998,-0.998,1.0
AMZN,2025-06-24,0.0,2.0,2.0,0.5287,0.5287,0.5287,2.0
AMZN,2025-07-01,0.0,1.0,1.0,0.0,0.0,0.0,1.0
AMZN,2025-07-08,0.0,1.0,1.0,-0.5106,-0.5106,-0.5106,1.0
AMZN,2025-07-22,0.0,2.0,2.0,0.74685,0.74685,0.74685,2.0
AMZN,2025-07-29,0.0,4.0,4.0,0.03447500000000006,0.21205192307692305,-0.103,3.0
AMZN,2025-08-05,0.0,2.0,2.0,0.4456,0.4456,0.4456,2.0
AMZN,2025-08-12,0.0,3.0,3.0,0.06199999999999994,0.023366666666666664,0.09097499999999994,2.0
AMZN,2025-08-19,0.0,1.0,1.0,0.2484,0.2484,0.2484,1.0
AMZN,2025-09-02,0.0,1.0,1.0,0.9952,0.9952,0.9952,1.0
AMZN,2025-09-16,0.0,3.0,3.0,0.1186,0.1186,0.1779,3.0
AMZN,2025-09-23,0.0,1.0,1.0,-0.1531,-0.1531,-0.1531,1.0
AMZN,2025-10-14,0.0,6.0,6.0,0.22196666666666667,0.2007038095238095,0.294675,2.0
AMZN,2025-10-21,2.0,17.0,19.0,0.15346315789473683,0.27626638824333566,0.0,4.0
AMZN,2025-10-28,1.0,9.0,10.0,-0.08419999999999997,-0.1470709615384616,0.1395,5.0
AMZN,2025-11-04,1.0,9.0,10.0,0.44599,0.4468270951696033,0.26955,4.0
BA,2025-07-29,0.0,1.0,1.0,-0.103,-0.103,-0.103,1.0
BA,2025-09-23,0.0,1.0,1.0,0.5187,0.5187,0.5187,1.0
BA,2025-10-14,0.0,1.0,1.0,0.8952,0.8952,0.8952,1.0
BA,2025-10-21,0.0,1.0,1.0,-0.7214,-0.7214,-0.7214,1.0
BA,2025-10-28,0.0,2.0,2.0,-0.61235,-0.61235,-0.61235,2.0
BAC,2025-05-20,1.0,0.0,1.0,-0.2006,-0.2006,-0.2006,1.0
BAC,2025-07-15,0.0,1.0,1.0,-0.93,-0.93,-0.93,1.0
BAC,2025-07-29,0.0,1.0,1.0,0.0,0.0,0.0,1.0
BAC,2025-08-12,0.0,2.0,2.0,0.20095,0.20095,0.20095,2.0
BAC,2025-10-07,0.0,1.0,1.0,0.1531,0.1531,0.1531,1.0
BAC,2025-10-14,0.0,2.0,2.0,-0.9456,-0.9456,-0.9456,2.0
BAC,2025-11-04,0.0,1.0,1.0,0.6486,0.6486,0.6486,1.0
COST,2025-05-20,0.0,4.0,4.0,-0.022175,0.16555326086956526,-0.1366,2.0
COST,2025-05-27,1.0,6.0,7.0,0.2382857142857143,0.6053811976503195,0.0,3.0
COST,2025-06-17,0.0,1.0,1.0,0.0,0.0,0.0,1.0
COST,2025-07-29,0.0,2.0,2.0,0.39440000000000003,0.3944000000000001,0.39440000000000003,2.0
COST,2025-08-05,0.0,1.0,1.0,0.6637,0.6637,0.6637,1.0
COST,2025-08-12,0.0,2.0,2.0,0.3062,0.3062,0.3062,2.0
COST,2025-09-16,0.0,1.0,1.0,-0.5053,-0.5053,-0.5053,1.0
COST,2025-09-23,0.0,1.0,1.0,-0.872,-0.872,-0.872,1.0
COST,2025-10-14,0.0,1.0,1.0,0.631,0.631,0.631,1.0
COST,2025-10-21,0.0,1.0,1.0,0.2732,0.2732,0.2732,1.0
COST,2025-10-28,0.0,4.0,4.0,-0.2831,-0.2831,-0.61235,4.0
COST,2025-11-11,0.0,1.0,1.0,0.2924,0.2924,0.2924,1.0
CRM,2025-08-26,0.0,1.0,1.0,0.6597,0.6597,0.6597,1.0
CRM,2025-09-02,0.0,2.0,2.0,-0.94675,-0.94675,-0.94675,2.0
CRM,2025-10-21,0.0,1.0,1.0,0.3612,0.3612,0.3612,1.0
CVX,2025-07-29,0.0,2.0,2.0,0.39440000000000003,0.3944000000000001,0.39440000000000003,2.0
CVX,2025-08-12,0.0,1.0,1.0,0.4019,0.4019,0.4019,1.0
CVX,2025-10-28,0.0,4.0,4.0,-0.2831,-0.2831,-0.61235,4.0
DIS,2025-05-20,0.0,1.0,1.0,0.4854,0.4854,0.4854,1.0
DIS,2025-07-29,0.0,2.0,2.0,0.6621,0.6621,0.6621,2.0
DIS,2025-08-05,0.0,3.0,3.0,0.7662666666666667,0.7662666666666667,0.6637,3.0
DIS,2025-08-12,0.0,1.0,1.0,0.0,0.0,0.0,1.0
DIS,2025-08-26,0.0,1.0,1.0,0.7096,0.7096,0.7096,1.0
DIS,2025-09-16,2.0,17.0,19.0,0.08871578947368418,-0.2894710124149814,0.0176,3.0
DIS,2025-10-28,0.0,1.0,1.0,0.5,0.5,0.5,1.0
DIS,2025-11-04,0.0,1.0,1.0,0.7626,0.7626,0.7626,1.0
DIS,2025-11-11,0.0,3.0,3.0,-0.8894000000000001,-0.8894000000000001,-0.8877,3.0
GME,2025-05-20,0.0,3.0,3.0,0.03423333333333333,0.03423333333333333,0.05135,2.0
GME,2025-05-27,1.0,9.0,10.0,-0.10083000000000002,-0.4589765147453083,-0.36865,4.0
GME,2025-06-24,0.0,1.0,1.0,0.0,0.0,0.0,1.0
GME,2025-07-01,0.0,1.0,1.0,0.0,0.0,0.0,1.0
GME,2025-07-22,1.0,15.0,16.0,0.13044374999999997,0.6906006134969325,0.0,3.0
GME,2025-07-29,0.0,1.0,1.0,0.1655,0.1655,0.1655,1.0
GME,2025-08-12,0.0,1.0,1.0,0.0,0.0,0.0,1.0
GME,2025-08-19,0.0,1.0,1.0,0.0,0.0,0.0,1.0
GME,2025-09-02,0.0,1.0,1.0,0.8073,0.8073,0.8073,1.0
GME,2025-09-09,0.0,1.0,1.0,0.5213,0.5213,0.5213,1.0
GME,2025-09-23,0.0,1.0,1.0,0.3612,0.3612,0.3612,1.0
GME,2025-10-14,0.0,3.0,3.0,0.5401,0.4204185185185185,0.59455,2.0
GME,2025-10-21,3.0,51.0,54.0,0.19060925925925926,0.0010184702718969265,0.47805,7.0
GME,2025-10-28,0.0,3.0,3.0,-0.0654,-0.0654,0.0,3.0
GME,2025-11-04,0.0,1.0,1.0,0.0,0.0,0.0,1.0
GOOG,2025-05-20,1.0,0.0,1.0,0.9413,0.9413,0.9413,1.0
GOOG,2025-05-27,1.0,10.0,11.0,0.12470909090909087,0.4500599249827264,0.0,3.0
GOOG,2025-06-03,0.0,1.0,1.0,0.0,0.0,0.0,1.0
GOOG,2025-06-10,1.0,1.0,2.0,0.31555,0.31555,0.31555,2.0
GOOG,2025-06-17,0.0,2.0,2.0,0.058499999999999996,0.058499999999999996,0.058499999999999996,2.0
GOOG,2025-06-24,2.0,0.0,2.0,0.61865,0.2972039179104477,0.61865,1.0
GOOG,2025-07-01,1.0,22.0,23.0,0.2975260869565217,0.11919391244045109,0.38295,6.0
GOOG,2025-07-15,4.0,5.0,9.0,0.6564888888888889,0.6258904040404041,0.9413,5.0
GOOG,2025-07-22,2.0,6.0,8.0,0.6208375,0.8652439484126984,0.68615,4.0
GOOG,2025-07-29,3.0,1.0,4.0,0.75515,0.75515,0.9413,4.0
GOOG,2025-08-05,4.0,1.0,5.0,0.82742,0.8381024899598394,0.9413,4.0
GOOG,2025-08-12,5.0,3.0,8.0,0.664375,0.69205,0.9413,5.0
GOOG,2025-08-19,6.0,0.0,6.0,0.8337500000000001,0.7264232485729112,0.9413,5.0
GOOG,2025-08-26,5.0,2.0,7.0,0.5848714285714286,0.4142662464985994,0.9413,5.0
GOOG,2025-09-02,6.0,5.0,11.0,0.5046545454545455,0.4724196028481616,0.8481,5.0
GOOG,2025-09-09,5.0,1.0,6.0,0.7547666666666667,0.6428466666666667,0.9413,5.0
GOOG,2025-09-16,5.0,6.0,11.0,0.4639999999999999,0.4719406530890886,0.5596,7.0
GOOG,2025-09-23,3.0,5.0,8.0,0.4324125,0.1677717264573991,0.47065,3.0
GOOG,2025-09-30,5.0,0.0,5.0,0.9413,0.9413,0.9413,5.0
GOOG,2025-10-07,6.0,6.0,12.0,0.30256666666666665,-0.005691719353873359,0.338975,6.0
GOOG,2025-10-14,5.0,7.0,12.0,0.6877666666666666,0.5252217320261438,0.7498750000000001,6.0
GOOG,2025-10-21,6.0,6.0,12.0,0.47520000000000007,0.4676142857142857,0.6712,6.0
GOOG,2025-10-28,5.0,9.0,14.0,0.35854285714285716,0.05034010737954431,0.46244999999999997,6.0
GOOG,2025-11-04,7.0,10.0,17.0,0.4095352941176471,0.4680406217264088,0.50945,5.0
GOOG,2025-11-11,4.0,2.0,6.0,0.6020166666666666,0.6020166666666666,0.705975,4.0
GS,2025-07-15,0.0,1.0,1.0,-0.93,-0.93,-0.93,1.0
GS,2025-07-22,0.0,1.0,1.0,0.9501,0.9501,0.9501,1.0
GS,2025-10-07,0.0,1.0,1.0,0.1531,0.1531,0.1531,1.0
GS,2025-10-14,0.0,1.0,1.0,-0.926,-0.926,-0.926,1.0
HD,2025-05-27,0.0,1.0,1.0,0.296,0.296,0.296,1.0
HD,2025-08-12,0.0,2.0,2.0,-0.12715,-0.12715,-0.12715,2.0
HD,2025-08-19,0.0,1.0,1.0,-0.7352,-0.7352,-0.7352,1.0
HD,2025-10-14,0.0,1.0,1.0,-0.4939,-0.4939,-0.4939,1.0
INTC,2025-06-24,0.0,1.0,1.0,0.0,0.0,0.0,1.0
INTC,2025-07-01,0.0,1.0,1.0,-0.8207,-0.8207,-0.8207,1.0
INTC,2025-07-08,0.0,1.0,1.0,0.0,0.0,0.0,1.0
INTC,2025-07-15,0.0,2.0,2.0,0.23349999999999999,0.23349999999999999,0.23349999999999999,2.0
INTC,2025-07-22,0.0,3.0,3.0,-0.38486666666666663,-0.38486666666666663,-0.5216,3.0
INTC,2025-08-05,1.0,10.0,11.0,-0.07030000000000004,-0.08309983941911617,-0.7401,3.0
INTC,2025-09-02,0.0,1.0,1.0,0.0,0.0,0.0,1.0
INTC,2025-09-09,0.0,1.0,1.0,-0.5574,-0.5574,-0.5574,1.0
INTC,2025-09-16,1.0,7.0,8.0,0.134925,0.2261197282466684,0.2263,1.0
INTC,2025-09-23,0.0,2.0,2.0,0.3243,0.3243,0.3243,2.0
INTC,2025-10-21,0.0,4.0,4.0,0.362275,0.46604999999999996,0.3538,3.0
INTC,2025-10-28,0.0,1.0,1.0,0.6983,0.6983,0.6983,1.0
INTC,2025-11-04,0.0,9.0,9.0,0.3992555555555556,0.442645536037013,0.686675,2.0
JPM,2025-05-13,0.0,1.0,1.0,0.981,0.981,0.981,1.0
JPM,2025-05-20,1.0,0.0,1.0,-0.2006,-0.2006,-0.2006,1.0
JPM,2025-07-15,0.0,1.0,1.0,-0.93,-0.93,-0.93,1.0
JPM,2025-08-12,0.0,2.0,2.0,0.20095,0.20095,0.20095,2.0
JPM,2025-10-07,0.0,1.0,1.0,0.1531,0.1531,0.1531,1.0
JPM,2025-10-14,0.0,1.0,1.0,-0.926,-0.926,-0.926,1.0
KO,2025-07-01,0.0,1.0,1.0,0.6532,0.6532,0.6532,1.0
KO,2025-07-15,0.0,1.0,1.0,0.2259,0.2259,0.2259,1.0
KO,2025-07-22,0.0,2.0,2.0,-0.5772999999999999,-0.5772999999999999,-0.5772999999999999,2.0
KO,2025-07-29,0.0,1.0,1.0,0.0772,0.0772,0.0772,1.0
KO,2025-08-12,0.0,2.0,2.0,0.20095,0.3653636363636364,0.20095,1.0
KO,2025-09-16,0.0,1.0,1.0,0.1779,0.1779,0.1779,1.0
KO,2025-10-07,0.0,1.0,1.0,-0.5034,-0.5034,-0.5034,1.0
KO,2025-10-21,0.0,5.0,5.0,0.18613999999999997,0.18613999999999997,0.2805,5.0
KO,2025-10-28,0.0,2.0,2.0,-0.61235,-0.61235,-0.61235,2.0
LOW,2025-08-12,0.0,1.0,1.0,-0.6562,-0.6562,-0.6562,1.0
LOW,2025-08-19,0.0,2.0,2.0,-0.5971,-0.5971,-0.5971,2.0
LYFT,2025-07-29,0.0,1.0,1.0,0.963,0.963,0.963,1.0
LYFT,2025-08-05,0.0,2.0,2.0,0.81755,0.81755,0.81755,2.0
LYFT,2025-10-28,0.0,1.0,1.0,0.963,0.963,0.963,1.0
LYFT,2025-11-04,0.0,2.0,2.0,-0.039000000000000035,-0.039000000000000035,-0.039000000000000035,2.0
META,2025-05-27,0.0,1.0,1.0,-0.9217,-0.9217,-0.9217,1.0
META,2025-06-10,0.0,1.0,1.0,0.5859,0.5859,0.5859,1.0
META,2025-06-17,0.0,1.0,1.0,0.743,0.743,0.743,1.0
META,2025-07-08,0.0,2.0,2.0,-0.30315,-0.7964000000000001,-0.30315,1.0
META,2025-07-15,0.0,7.0,7.0,-0.08940000000000001,-0.08940000000000001,0.0129,3.0
META,2025-07-29,0.0,2.0,2.0,-0.3068,-0.3068,-0.3068,2.0
META,2025-08-05,0.0,1.0,1.0,0.6637,0.6637,0.6637,1.0
META,2025-08-12,0.0,1.0,1.0,0.8591,0.8591000000000001,0.8591,1.0
META,2025-08-19,0.0,1.0,1.0,0.0,0.0,0.0,1.0
META,2025-08-26,0.0,1.0,1.0,0.7096,0.7096,0.7096,1.0
META,2025-09-16,0.0,3.0,3.0,0.14926666666666666,0.2802703703703704,0.350225,2.0
META,2025-10-14,0.0,1.0,1.0,0.9287,0.9287,0.9287,1.0
META,2025-10-21,0.0,3.0,3.0,0.19896666666666665,0.1989666666666666,0.4003,3.0
META,2025-10-28,0.0,13.0,13.0,-0.15652307692307688,-0.3709493468795355,-0.3147,5.0
META,2025-11-04,3.0,3.0,6.0,0.14551666666666668,0.6355641317658585,0.1264250000000001,2.0
MRNA,2025-07-22,1.0,0.0,1.0,0.9553,0.9553,0.9553,1.0
MRNA,2025-07-29,0.0,2.0,2.0,0.39440000000000003,0.3944000000000001,0.39440000000000003,2.0
MRNA,2025-09-09,0.0,1.0,1.0,0.6597,0.6597,0.6597,1.0
MRNA,2025-10-28,0.0,1.0,1.0,0.0,0.0,0.0,1.0
MRNA,2025-11-04,0.0,2.0,2.0,-0.09855000000000003,-0.09855000000000003,-0.09855000000000003,2.0
MS,2025-05-13,0.0,1.0,1.0,0.1655,0.1655,0.1655,1.0
MS,2025-06-03,1.0,0.0,1.0,-0.6171,-0.6171,-0.6171,1.0
MS,2025-07-15,0.0,1.0,1.0,-0.93,-0.93,-0.93,1.0
MS,2025-07-22,1.0,0.0,1.0,0.9893,0.9893,0.9893,1.0
MS,2025-09-30,1.0,0.0,1.0,0.8692,0.8692,0.8692,1.0
MS,2025-10-07,0.0,1.0,1.0,0.1531,0.1531,0.1531,1.0
MS,2025-10-14,0.0,2.0,2.0,-0.9456,-0.9456,-0.9456,2.0
MS,2025-10-28,0.0,1.0,1.0,0.9918,0.9918,0.9918,1.0
MS,2025-11-04,0.0,2.0,2.0,-0.43575,-0.3477599999999999,-0.43575,1.0
MSFT,2025-05-13,0.0,4.0,4.0,-0.07165,-0.36131626506024095,-0.07165,2.0
MSFT,2025-05-20,0.0,8.0,8.0,0.2403,-0.10088141043397975,0.5752,4.0
MSFT,2025-05-27,2.0,4.0,6.0,0.3051833333333333,0.2663064478455959,0.8095749999999999,4.0
MSFT,2025-06-03,0.0,5.0,5.0,-0.27698,-0.41527031952662713,-0.296,3.0
MSFT,2025-06-10,0.0,3.0,3.0,0.2501333333333333,0.40013750000000003,0.323175,2.0
MSFT,2025-06-17,0.0,2.0,2.0,-0.4976,-0.4976,-0.4976,2.0
MSFT,2025-06-24,1.0,2.0,3.0,0.25603333333333333,0.30596131260794474,0.03892499999999999,2.0
MSFT,2025-07-01,0.0,9.0,9.0,-0.15487777777777778,-0.6612462659380692,-0.537975,2.0
MSFT,2025-07-08,1.0,3.0,4.0,0.02327499999999999,0.5503787192502927,-0.18045000000000003,2.0
MSFT,2025-07-15,0.0,3.0,3.0,-0.6926,-0.7023266666666667,-0.619925,2.0
MSFT,2025-07-22,1.0,3.0,4.0,0.335125,0.335125,0.3855,4.0
MSFT,2025-07-29,0.0,4.0,4.0,0.07625000000000001,0.07625000000000001,0.12910000000000002,4.0
MSFT,2025-08-05,0.0,4.0,4.0,0.328675,0.15140714285714285,0.4767,3.0
MSFT,2025-08-12,0.0,3.0,3.0,0.1753666666666666,0.6542333333333333,0.23199999999999993,2.0
MSFT,2025-08-19,0.0,5.0,5.0,-0.3075,-0.27185999999999994,-0.5971,4.0
MSFT,2025-08-26,0.0,3.0,3.0,0.3273333333333333,0.3273333333333333,0.6124,3.0
MSFT,2025-09-02,0.0,2.0,2.0,0.7178,0.7178,0.7178,2.0
MSFT,2025-09-09,0.0,1.0,1.0,0.8744,0.8744,0.8744,1.0
MSFT,2025-09-16,0.0,6.0,6.0,0.4539166666666667,0.2965844537815126,0.45135000000000003,4.0
MSFT,2025-09-23,0.0,2.0,2.0,0.45135,0.3457878787878787,0.45135,1.0
MSFT,2025-10-07,0.0,6.0,6.0,0.10625,0.0005303508771929699,0.25,5.0
MSFT,2025-10-14,0.0,4.0,4.0,0.44252499999999995,0.4633583333333333,0.5726,2.0
MSFT,2025-10-21,1.0,4.0,5.0,0.32080000000000003,0.8055221052631578,0.6808,3.0
MSFT,2025-10-28,0.0,5.0,5.0,0.001880000000000015,0.0018799999999999707,-0.1054,4.0
MSFT,2025-11-04,2.0,21.0,23.0,0.14396956521739132,0.5328316986221693,-0.015549999999999953,4.0
MSFT,2025-11-11,0.0,1.0,1.0,0.0,0.0,0.0,1.0
NFLX,2025-05-20,0.0,1.0,1.0,0.9989,0.9989,0.9989,1.0
NFLX,2025-07-15,0.0,2.0,2.0,-0.8572500000000001,-0.8572500000000001,-0.8572500000000001,2.0
NFLX,2025-07-29,0.0,1.0,1.0,0.2023,0.2023,0.2023,1.0
NFLX,2025-08-05,0.0,1.0,1.0,0.6637,0.6637,0.6637,1.0
NFLX,2025-08-26,0.0,1.0,1.0,0.7096,0.7096,0.7096,1.0
NFLX,2025-10-21,0.0,3.0,3.0,0.3899999999999999,0.7067846153846155,0.3538,1.0
NFLX,2025-10-28,0.0,5.0,5.0,0.33292,0.36776639175257725,0.3672,3.0
NFLX,2025-11-04,0.0,1.0,1.0,0.0,0.0,0.0,1.0
NFLX,2025-11-11,0.0,1.0,1.0,0.9201,0.9201,0.9201,1.0
NKE,2025-05-27,1.0,1.0,2.0,0.42395,0.42395000000000005,0.42395,2.0
NKE,2025-07-15,0.0,1.0,1.0,0.0,0.0,0.0,1.0
NKE,2025-09-23,0.0,1.0,1.0,-0.9212,-0.9212,-0.9212,1.0
NKE,2025-09-30,0.0,1.0,1.0,-0.9112,-0.9112,-0.9112,1.0
NKE,2025-10-14,0.0,1.0,1.0,0.8952,0.8952,0.8952,1.0
NVDA,2025-05-20,1.0,0.0,1.0,0.9625,0.9625,0.9625,1.0
NVDA,2025-05-27,0.0,7.0,7.0,-0.12534285714285714,-0.06104857142857146,0.0,5.0
NVDA,2025-06-03,0.0,1.0,1.0,0.0,0.0,0.0,1.0
NVDA,2025-06-17,0.0,2.0,2.0,0.3715,0.3715,0.3715,2.0
NVDA,2025-06-24,0.0,1.0,1.0,0.0,0.0,0.0,1.0
NVDA,2025-07-01,0.0,3.0,3.0,0.2584666666666667,0.2584666666666667,0.0,3.0
NVDA,2025-07-08,2.0,19.0,21.0,0.28422857142857133,0.9141866631975072,0.424125,2.0
NVDA,2025-07-15,0.0,3.0,3.0,0.5060333333333333,0.6868,0.623475,2.0
NVDA,2025-07-22,2.0,14.0,16.0,0.2890625,0.736162037882437,0.32899999999999996,4.0
NVDA,2025-07-29,0.0,4.0,4.0,0.43745,0.4454514705882353,0.66395,3.0
NVDA,2025-08-05,0.0,5.0,5.0,-0.06155999999999999,-0.2205,0.0,3.0
NVDA,2025-08-12,0.0,6.0,6.0,0.3504833333333333,0.47563666666666665,0.1591,4.0
NVDA,2025-08-19,1.0,7.0,8.0,0.3158875,0.38087147887323947,0.44789999999999996,4.0
NVDA,2025-08-26,0.0,8.0,8.0,0.17741250000000003,0.14004513888888886,-0.0691,4.0
NVDA,2025-09-02,2.0,4.0,6.0,0.29591666666666666,0.659243213808288,0.4235,2.0
NVDA,2025-09-09,0.0,3.0,3.0,0.4189333333333334,0.4189333333333334,0.5213,3.0
NVDA,2025-09-16,0.0,3.0,3.0,0.24656666666666668,0.26722666666666667,0.184925,2.0
NVDA,2025-09-23,0.0,2.0,2.0,0.3806,0.38060000000000005,0.3806,2.0
NVDA,2025-09-30,1.0,0.0,1.0,0.8898,0.8898,0.8898,1.0
NVDA,2025-10-07,0.0,7.0,7.0,-0.14547142857142856,-0.09259816076386174,0.1147,4.0
NVDA,2025-10-14,1.0,10.0,11.0,0.36829999999999996,0.3605467532467533,0.32985,5.0
NVDA,2025-10-21,3.0,5.0,8.0,0.35609999999999997,0.7387357315389925,0.48675,3.0
NVDA,2025-10-28,3.0,14.0,17.0,0.17791176470588232,0.263821744631064,0.0,7.0
NVDA,2025-11-04,2.0,25.0,27.0,0.1391259259259259,0.5448047779304075,0.21125,5.0
NVDA,2025-11-11,1.0,14.0,15.0,0.25302,0.20131092995169078,0.07922499999999999,4.0
ORCL,2025-08-05,0.0,1.0,1.0,0.7964,0.7964,0.7964,1.0
ORCL,2025-08-12,0.0,2.0,2.0,0.4628,0.4628,0.4628,2.0
ORCL,2025-08-19,1.0,0.0,1.0,0.0,0.0,0.0,1.0
ORCL,2025-08-26,0.0,1.0,1.0,0.0,0.0,0.0,1.0
ORCL,2025-09-02,1.0,1.0,2.0,0.40365,0.40365,0.40365,2.0
ORCL,2025-09-09,4.0,7.0,11.0,0.1781,0.35793935416198397,0.148,4.0
ORCL,2025-09-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0
ORCL,2025-10-21,0.0,1.0,1.0,0.2732,0.2732,0.2732,1.0
ORCL,2025-10-28,0.0,1.0,1.0,0.5994,0.5994,0.5994,1.0
ORCL,2025-11-04,0.0,4.0,4.0,0.15547499999999995,0.42541853448275874,0.24635,2.0
PEP,2025-07-15,0.0,2.0,2.0,-0.8572500000000001,-0.8572500000000001,-0.8572500000000001,2.0
PEP,2025-08-12,0.0,2.0,2.0,0.20095,0.20095,0.20095,2.0
PEP,2025-09-02,0.0,4.0,4.0,-0.9667,-0.9667,-0.97115,4.0
PEP,2025-09-30,0.0,1.0,1.0,-0.8798,-0.8798,-0.8798,1.0
PEP,2025-10-07,0.0,3.0,3.0,-0.9070333333333332,-0.9070333333333332,-0.9379,3.0
